timeStamp,elapsed,responseCode,threadName,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
1552327295017,8142,200,jp@gc - Ultimate Thread Group 1-567,172,221,1024,1024,8142,1,0,0,8101
1552327287517,21649,200,jp@gc - Ultimate Thread Group 1-951,172,221,1024,1024,21649,1,0,0,21613
1552327294177,20993,200,jp@gc - Ultimate Thread Group 1-610,172,221,1024,1024,20993,1,0,0,20951
1552327321082,72,200,jp@gc - Ultimate Thread Group 1-31,172,221,1024,1024,72,1,0,0,32
1552327255290,71870,200,jp@gc - Ultimate Thread Group 1-277,172,221,1003,1003,71870,1,0,0,71832
1552327295429,37727,200,jp@gc - Ultimate Thread Group 1-546,172,221,808,808,37727,1,0,0,37687
1552327303159,36823,200,jp@gc - Ultimate Thread Group 1-567,172,221,716,716,36823,1,0,0,36788
1552327325424,19753,200,jp@gc - Ultimate Thread Group 1-117,172,221,712,712,19753,1,0,0,19716
1552327315170,36187,200,jp@gc - Ultimate Thread Group 1-610,172,221,708,708,36187,1,0,0,36147
1552327321154,36025,200,jp@gc - Ultimate Thread Group 1-31,172,221,704,704,36025,1,0,0,35988
1552327292438,70722,200,jp@gc - Ultimate Thread Group 1-699,172,221,692,692,70722,1,0,0,70685
1552327300330,69820,200,jp@gc - Ultimate Thread Group 1-4,172,221,340,340,69820,1,0,0,69783
1552327306476,69401,200,jp@gc - Ultimate Thread Group 1-13,172,221,32,32,69401,1,0,0,69365
1552327309167,69252,200,jp@gc - Ultimate Thread Group 1-951,172,221,30,30,69252,1,0,0,69214
1552327310375,69193,200,jp@gc - Ultimate Thread Group 1-41,172,221,29,29,69193,1,0,0,69157
1552327311319,69156,200,jp@gc - Ultimate Thread Group 1-190,172,221,28,28,69156,1,0,0,69117
1552327313841,69023,200,jp@gc - Ultimate Thread Group 1-2,172,221,25,25,69023,1,0,0,68985
1552327316789,68877,200,jp@gc - Ultimate Thread Group 1-30,172,221,23,23,68877,1,0,0,68841
1552327317652,68867,200,jp@gc - Ultimate Thread Group 1-114,172,221,22,22,68867,1,0,0,68832
1552327320206,68815,200,jp@gc - Ultimate Thread Group 1-9,172,221,21,21,68815,1,0,0,68779
1552327322356,68760,200,jp@gc - Ultimate Thread Group 1-29,172,221,20,20,68760,1,0,0,68724
1552327322750,68753,200,jp@gc - Ultimate Thread Group 1-6,172,221,19,19,68753,1,0,0,68716
1552327323005,68741,200,jp@gc - Ultimate Thread Group 1-28,172,221,18,18,68741,1,0,0,68706
1552327323625,68721,200,jp@gc - Ultimate Thread Group 1-128,172,221,17,17,68721,1,0,0,68686
1552327323649,68723,200,jp@gc - Ultimate Thread Group 1-246,172,221,16,16,68723,1,0,0,68687
1552327323652,68721,200,jp@gc - Ultimate Thread Group 1-27,172,221,15,15,68721,1,0,0,68684
1552327323786,68727,200,jp@gc - Ultimate Thread Group 1-127,172,221,14,14,68727,1,0,0,68690
1552327323946,68724,200,jp@gc - Ultimate Thread Group 1-126,172,221,13,13,68724,1,0,0,68687
1552327324107,68717,200,jp@gc - Ultimate Thread Group 1-125,172,221,12,12,68717,1,0,0,68681
1552327324269,68717,200,jp@gc - Ultimate Thread Group 1-124,172,221,11,11,68717,1,0,0,68680
1552327324343,68714,200,jp@gc - Ultimate Thread Group 1-26,172,221,10,10,68714,1,0,0,68679
1552327324424,68713,200,jp@gc - Ultimate Thread Group 1-123,172,221,9,9,68713,1,0,0,68678
1552327324587,68707,200,jp@gc - Ultimate Thread Group 1-122,172,221,8,8,68707,1,0,0,68672
1552327324756,68703,200,jp@gc - Ultimate Thread Group 1-121,172,221,7,7,68703,1,0,0,68667
1552327324921,68688,200,jp@gc - Ultimate Thread Group 1-120,172,221,6,6,68688,1,0,0,68652
1552327325092,68682,200,jp@gc - Ultimate Thread Group 1-119,172,221,5,5,68682,1,0,0,68644
1552327325262,68673,200,jp@gc - Ultimate Thread Group 1-118,172,221,4,4,68673,1,0,0,68636
1552327325590,68656,200,jp@gc - Ultimate Thread Group 1-116,172,221,3,3,68656,1,0,0,68619
1552327325636,68644,200,jp@gc - Ultimate Thread Group 1-24,172,221,2,2,68644,1,0,0,68609
1552327325749,68644,200,jp@gc - Ultimate Thread Group 1-115,172,221,1,1,68644,1,0,0,68607
